text,label,max_sent
@ulschzi @FfFrauki Raub Mord Vergewaltigung muss gesühnt werden...egal in welchem Land...Abschiebung erst nachdem diese Schweine ihre Strafe absitzen...!,HATE,18
"Nein, Hessen hat kein Problem mit Flüchtlingen aus Moldawien 
und Georgien, sondern mit solchen aus ganz anderen 
Ländern.",HATE,18
"(Zurufe Christian Heinz und Hartmut Honka (CDU))

Parallel hierzu entwickelte sich eine mit Steuergeldern sowie 
Schuldenaufnahme finanzierte Asylindustrie.

(Michael Boddenberg (CDU): Gehen Sie doch zu Ihren 
Parteifreunden bei der FPÖ!)",HATE,18
"Wozu muss ich eigentlich einen neuen Personalausweis beantragen, wenn ich auch als ""Flüchtling"" ohne Papiere hierzulande geduldet würde?",HATE,18
@PaulsGurke @66Freedom66 @HolgerEwald1 Schickt die „links-grüne“ Welt zum Mars zwecks Terraforming und die Kriminellen Asylanten gleich mit!🚀🚀🚀,HATE,17
"Kirchhoff, ist Ihnen entgangen, dass 98 % der Migranten aus |LBR| Marokko nicht als Flüchtlinge anerkannt werden? Lassen Sie |LBR| Ihre blöden Ideen.",HATE,17
"@DrDavidBerger Einsammeln und ab nach Palästina,Demonstrierverbot für Ausländer.Was diese Moslems machen ist Landfriedensbruch.Ein Grund sie schnellstens abzuschieben!",HATE,17
"@MDR_SAN Da sollten auch Asylanten eingesetzt werden, die für nichts abkassieren und sich den Tag über langweilen.",HATE,17
"@heinrichwiechm1 Sarkasmus ist die manchmal letzte Möglichkeit, sich vor diesem ganzen Asyl - und Migranten-Wahnsinn zu schützen....",HATE,17
@BlauekeP @poschuetzge @lawyerberlin @Die_Gruenen @fdp ....diese Asylrechte sind der eigentliche Verursacher unseres Desasters....allen Asyl-Kriminellen jegliche Rechte verwehren. |LBR| Problem gelöst!,HATE,17
Erst twittert Bettina Kudla ihre Kritik an der Asylpolitik Merkels mit d NS-Begriff „Umvolkung“ Jetzt fordert H. Winkler Kolationen mit AfD,HATE,17
@FranzAndes45 Mal sehen...wenn ich jetzt schreiben würde mann soll Flüchtlinge würgen dann werde ich bestimmt gesperrt..?,HATE,16
statt diesen kriminellen #Ausländer noch im Fernsehen zu zeigen sollte man ihn lieber rausschmeißen @aktuelleStunde #WDR,HATE,16
@AmadeuAntonio Sämtliche tödlichen Terroranschläge in Europa der letzten Jahre auf uns Juden waren von muslimischen Migranten.  @Schlimmbo2,HATE,16
@Beutebadener @LeggaKnoppers @KotzenderStern Das sind keine Franzosen sondern Einwanderer aus einer kuh wird auch kein hund,HATE,16
"@GDhring @NiemaMovassat Im Gegensatz zu den Sozialschmarotzern, die hier her kommen, sind dort tatsächlich Flüchtlinge unterwegs.",HATE,16
"Ich verstehe immer weniger, warum die Polen, Tschechen und Ungarn unsere vorbildliche Migrationspolitik nicht mitmachen wollen. |LBR| Ist es denen nicht langweilig mit Weihnachtsmärkten so ganz ohne Barrieren, Polizisten und Nagelbomben?",HATE,16
"@Joemino Prostituierte kann sich nicht mal ein Hartz IV leisten, Asylanten sucht euch Wichsvorlageni n Pornos!",HATE,16
"mit oder ohne Verfolgung. Sie wollen keine Abschiebung. 
Dann sagen Sie es doch ehrlich und führen nicht dieses 
Thema mit dem Erdbeben an.",HATE,15
Und wieder ein muslimischer Kreigsflüchtling der eine DEUTSCHE junge FRAU VERGEWALTIGT und GETÖTET HAT !!!! SAUBER MERKEL !!!!,HATE,15
@AkifPirincci Es gibt in Deutschland nur eine Art von Flüchtling und das ist der Wirtschaftsflü. ! Alle Kriegsfl. sind durch sichere 3tstaat. gereist!,HATE,15
"Sippenhaftung für alle Ausländer.. Wer länger als 1 Jahr keine |LBR| Arbeit findet, muss dorthin zurück, wo er herkommt. Ohne jede |LBR| Ausnahme.",HATE,15
"@wolflotter @fdp Ist doch alles Fäkal-egal, Hauptsache die Ungelernten wie C.R. oder K.G.E. oder der Migrationspatriot C.Özdedingens ziehen eine lange Fresse. Das die Ö.R.Medien plus die Lügenpresse so berichten wie sie es tun, war doch absehbar! Das schon seit Jahren !",HATE,15
"@SteinbachErika Man sollte grundsätzlich nur Schweinefleisch an das Migrantenpack ausgeben. Sollten diese das zurückweisen, könnten sie ja in den zahlreichen Kanalisationen Ratten fangen und verzehren.",HATE,15
@andrittis @haut_drauf Wenn die Vikinger so verblödet sind und alles für statt gegen Asylnten tun!,HATE,15
"Verdammt nochmal, Ihr Italiener, seht Ihr denn nicht, wer da über |LBR| das Meer kommt? Das sind doch keine Flüchtlinge, das sind Invasoren",HATE,15
@RNZonline Die Asylanten nehmen deutschen Familien günstige Wohnungen weg.zuerst Deutsche dann der Rest der Welt!!!!!!!,HATE,15
