speaker,party,datum,ft_label,ft_score,text,human_label,notes
Rolf Kahnt,fraktionslos,2022-06-02,NON_HATE,0.9875,"Herr Präsident, liebe Kolleginnen und Kollegen! Die Vorstellungen 
der AfD zum Grundrecht der Kunstfreiheit sind 
hinlänglich bekannt. Ginge es nach ihr, würden Kunst und 
Kultur in all ihrer Vielfalt eingeschränkt und ideelle und finanzielle 
Unterstützungen für Kulturschaffende gestrichen, 
die nicht in ihr Welt- und schon gar nicht in ihr Menschenbild 
passen. 

Hierzu einige Fakten: Es ist eine AfD, der im Verfassungsschutzgutachten 
auf 50 Seiten antisemitische Aussagen 
von AfD-Vertretern nachgewiesen werden, eine AfD, 
die über die Verbrechen und den millionenfachen Mord 
an Jüdinnen und Juden mit einem Vogelschiss-Vergleich 
herzieht, die das Holocaust-Mahnmal in Berlin als Denkmal 
der Schande, als beschämende Erinnerungspolitik 
entwürdigt und eine verantwortungslose erinnerungspolitische 
Wende um 180 Grad fordert, die sich bei Corona-
Demonstrationen nicht vom Tragen des gelben Sterns oder 
von Vergleichen mit Anne Frank oder Sophie Scholl distanziert, 
die in ihrem Programm fundamentale Gebote des 
Judentums zur Disposition stellen will, bei der antisemitische 
Vorstellungen und Verschwörungsdenken integraler 
Bestandteil ihrer Programmatik sind, die über die Neue 
Rechte mit Codes wie internationale Hochfinanz oder 
Great Reset Antisemitismus unverhohlen schürt, die den 
Antisemitismus als wesentliches Problem von Migranten 
darstellt, die unaufhörlich gegen Muslime und Minderheiten 
hetzt und diese stigmatisiert, die in ihrem herablassenden 
Programm dem Grundrecht auf Religionsausübung 

 ich zitiere  durch staatliche Gesetze  und unsere 
Werte Schranken setzen will, die das Bundesverfassungsgericht 
und damit unseren Rechtsstaat ablehnt, die kraft 
Gerichtsurteil als rechtsextremistischer Verdachtsfall eingestuft 
wird. 
Ausgerechnet diese AfD inszeniert sich mit einem zynischen, 
schamlosen und verlogenen Antrag als Hüterin 
der christlich-jüdischen Tradition. Doch weder Christen 
und schon gar nicht Juden wollen sich von ihr vereinnahmen 
lassen. Die AfD sollte vor ihrer eigenen Haustür 
kehren. Mit Verlaub, dort gibt es genügend Dreck. Die 
AfD braucht niemand; und niemand braucht die AfD zum 
Schutz vor Antisemitismus. Was wir aber brauchen, meine 
Damen und Herren, ist Schutz vor der AfD und ihren Anträgen. 
 Vielen Dank. 

(Beifall CDU, BÜNDNIS 90/DIE GRÜNEN und 
SPD)",,
Mathias Wagner (Taunus),BÜNDNIS 90/DIE GRÜNEN,2019-12-11,NON_HATE,0.9885,"Die Kollegin von den LINKEN hat noch einmal die Frage 
angesprochen, ob Dialoge geführt worden sind. Vielleicht 
verständigen wir uns einfach darauf: Wir von den GRÜNEN 
waren bei den Gesprächen mit der agah anwesend, 
Sie waren nicht da. Damit ist zur Frage des Dialogs eigentlich 
alles gesagt. 

(Beifall BÜNDNIS 90/DIE GRÜNEN und vereinzelt 
CDU  Zurufe DIE LINKE) 

Darüber brauchen wir auch gar nicht zu streiten. 

(Hermann Schaus (DIE LINKE): So eine arrogante 
Aussage kann man doch nicht treffen! Das ist doch 
unglaublich!) 

Dialog bedeutet eben nicht, einer Meinung zu sein, sondern 
Dialog kann bedeuten, unterschiedlicher Meinung zu 
sein. Deshalb halte ich es für nicht sehr zielführend, weiter 
über diese Frage zu streiten, sondern wir sollten uns über 
die Sache unterhalten. 

Eine Integrationskommission hat ausdrücklich die gleichen 
Rechte, die ein Ausländerbeirat hat. So sehen wir das vor. 

(Widerspruch SPD) 

Ich bin dem Kollegen Yüksel dankbar, dass er in der zweiten 
Runde in die Sachdebatte eingestiegen ist und etwas zu 
der Frage des Vertrauens in die kommunalen Parlamente 
gesagt hat. Sie haben gefragt: Warum wollen wir die 
Pflicht einführen, eine Integrationskommission einzurichten? 
Warum überlassen wir das nicht den Kommunen?  
Wir tun das, weil wir sagen: Es darf gar nicht die Frage 
sein, dass es eine Repräsentanz von Migrantinnen und Migranten 
gibt; die einzige Frage ist, wie diese Repräsentanz 
ausgeübt wird. 

(Beifall BÜNDNIS 90/DIE GRÜNEN und CDU) 

Sie müssen sich entscheiden: Entweder haben Sie Vertrauen 
in die kommunalen Parlamente, oder Sie haben es nicht. 
Sie können aber nicht in Ihrem ersten Redeeitrag so herum 
argumentieren und in Ihrem zweiten Redebeitrag genau andersherum 
argumentieren. Das funktioniert nicht, Herr 
Kollege Yüksel. 

(Beifall BÜNDNIS 90/DIE GRÜNEN und CDU  
Zurufe DIE LINKE) 

Das gibt mir aber Gelegenheit, nochmals auf die zentrale 
Veränderung und auf die zentrale Stärkung der Partizipation 
von Migrantinnen und Migranten hinzuweisen, nämlich 
dadurch, dass es künftig in jeder Kommune mit mehr als 

1.000 ausländischen Mitbürgerinnen und Mitbürgern eine 
Vertretung und eine Repräsentanz der Migrantinnen und 
Migranten geben wird. Das gab es bislang nicht. Das ist eine 
Verbesserung und keine Verschlechterung. 
(Beifall BÜNDNIS 90/DIE GRÜNEN und CDU)",,
Hermann Schaus,DIE LINKE,2020-11-12,NON_HATE,0.9879,"Frau Präsidentin, meine sehr geehrten Damen und Herren! 
Wir alle merken, dass der AfD-Fraktion die Themen ausgehen. 
Angst vor Flüchtlingen zu schüren, das klappt gerade 
nicht so gut. Die Maßnahmen gegen das Corona-Virus 
werden trotz aller Probleme und unterschiedlichen Ansätzen 
von der ganz überwiegenden Mehrheit der Bevölkerung 
akzeptiert. Umgekehrt hat aber kaum noch jemand irgendein 
Verständnis für die Corona-Leugner, die in Verbindung 
zu den Neonazis und der AfD stehen. 

Umso heftiger wird innerhalb der AfD weiterhin Krieg gegeneinander 
geführt. Ganze Fraktionen brechen auseinander. 
Die AfD-Landtagsfraktion ist da mittendrin. Da gibt es 
Spitzelvorwürfe, Ausschlusskampagnen und eine 
Schlammschlacht nach der anderen. 

Warum erwähne ich das zu Beginn dieser Aktuellen Stunde? 
 Die AfD hat exakt dasselbe Thema schon im Juni 
2020 ins Plenum gebracht. Wie arm an Themen kann man 
sein? Seither hat sich dazu doch substanziell gar nichts geändert. 
Wiederholungen bringen uns keinen Schritt weiter. 
Das Gegenteil ist sogar der Fall. Herr Lambrou, ich glaube, 
Sie leisten der hessischen Polizei einen Bärendienst, wenn 
Sie immer wieder versuchen, sich als oberster Ordnungshüter 
aufzuspielen. 

Wohlgemerkt, das ist eine Partei, die Seite an Seite mit 
Rechtsterroristen, Neonazis und Corona-Leugnern agiert. 
Das ist eine Partei, aus deren Reihen immer wieder die 
Medien angegriffen werden und die eine unerträgliche 
Hetzstimmung im Land erzeugt. Trump lässt grüßen. 

Die AfD trägt nichts zur Sicherheit in unserem Land bei. 
Das Gegenteil ist der Fall. Sie gefährden Menschen, nicht 
nur die Migranten und die Opfer rechter Gewalt, sondern 
Sie gefährden mit Ihren Anti-Corona-Demonstrationen die 
Gesundheit der eingesetzten Polizeikräfte. Das reicht bis 
hin zur Gefahr massenhafter Ansteckung. Dafür habe ich 
kein Verständnis. 

(Beifall DIE LINKE und vereinzelt BÜNDNIS 90/
DIE GRÜNEN) 

Wer Menschen gefährdet oder angreift, muss dem Gesetz 
entsprechend zur Verantwortung gezogen werden. Dies gilt 
für Gewalt gegen Polizeibeamte ebenso wie für überzogene 
Gewalt durch Polizeibeamte. 

Wie schon im Juni 2020 möchte ich zum Abschluss meiner 
Rede erneut Herrn Prof. Rafael Behr zitieren, der 15 Jahre 
lang selbst Polizist war und heute unter anderem an der 
Hamburger Polizeihochschule lehrt. Er sprach zur ständigen",,
Robert Lambrou,AfD,2022-10-13,NON_HATE,0.9887,"Sehr geehrte Frau Präsidentin, sehr verehrte Damen und 
Herren! Als Fraktionsvorsitzender der Alternative für 
Deutschland habe ich mich zu einer Kurzintervention gemeldet. 
Ich möchte auf bestimmte Äußerungen eingehen, 
die Herr Felstehausen in seiner Rede gemacht hat. 

Sie haben Herrn Lichert vorgeworfen, dass ein Gericht 
geurteilt hat, man könne ihn ein stolzes Mitglied der 
Identitären Bewegung nennen. Daran kann man deutlich 
machen, wie Sie hier argumentativ operieren. Das Urteil 
beruht weitgehend darauf  das ist auch gut so in unserer 
Demokratie , dass es die Meinungsfreiheit sehr weit auslegt. 
Es gibt keinerlei Belege dafür, dass Andreas Lichert 
jemals Mitglied der Identitären Bewegung war. 

(Beifall AfD  Elisabeth Kula (DIE LINKE): Oh 
doch!) 

Warum lassen Sie so etwas weg? Warum nehmen Sie am 
Rednerpult keine Differenzierung vor? 

Außerdem kritisieren Sie uns dafür, dass wir sagen, die 
Demokratie sei in Gefahr. Jetzt kann man das so oder so 
formulieren; aber es gibt mehrere Umfragen seriöser Institute, 
die ganz klar besagen, dass ein signifikanter Teil der 
Bevölkerung erklärt: Man kann in diesem Land nicht mehr 

9442 
 

alles sagen, weil es sonst entsprechende Konsequenzen 
gibt.  Darüber muss auch geredet werden. 

(Beifall AfD  Elke Barth (SPD): Was denn für 
Konsequenzen?) 

Ferner haben Sie gesagt, wir würden mit XYZ marschieren. 
Wir marschieren nicht, wir demonstrieren. Das ist ein 
Grundrecht. 

(Beifall AfD) 

Ich würde Sie bitten, entsprechende Formulierungen zu 
verwenden. Am Wochenende gab es in Berlin eine Demonstration 
der AfD, an der 10.000 Bürger teilnahmen, die 
sich Sorgen um ihre wirtschaftliche Existenz machen. Diese 
Demonstration ist reibungslos verlaufen. Da sind auch 
nicht solche Leute mitgelaufen wie die, die Sie gerade 
genannt haben. Das waren Menschen aus der Mitte der 
Gesellschaft, die sich wegen der hohen Inflation, der hohen 
Energiepreise und der erneuten Masseneinwanderung Sorgen 
machen. 

(Beifall AfD) 

Sie greifen einzelne Sachen heraus, z. B. den unsäglichen 
Menschen, der ein Foto auf dem Holocaust-Mahnmal gemacht 
hat. Warum erwähnen Sie nicht auch, dass der inzwischen 
mit Ordnungsmaßnahmen konfrontiert ist, weil 
der Rest der AfD sagt: Das geht überhaupt nicht? Warum 
bringen Sie nicht die gesamte Sache? 

(Beifall AfD  Zurufe DIE LINKE)",,
Marcus Bocklet,BÜNDNIS 90/DIE GRÜNEN,2022-11-17,NON_HATE,0.9888,"Frau Präsidentin! Frau Gersberg, ich weiß ja nicht, ob 
es Wortprotokolle der Sitzungen des Unterausschusses für 
Heimatvertriebene, Aussiedler, Flüchtlinge und Wiedergutmachung 
gibt  ich glaube, eher nicht; sonst hätte ich 
Ihnen nachweisen können, dass meine Nachfrage explizit 
diese war: Sehr geehrte Frau Staatssekretärin, ist Ihnen 
bekannt, ob es Forderungen von den Kommunen und auch 
vom Städtetag nach höheren Pauschalen gibt? Werden dort 
diese Forderungen gestellt?  Das war meine Frage und 
nichts anderes. Was Sie da eben erzählt haben, ist reiner 
Käse. Diese Frage habe ich überhaupt nicht gestellt. Null 
Komma null, Frau Gersberg. 

(Zurufe AfD und Freie Demokraten: Oh!) 

 Nein, das ist eine richtige Unwahrheit, Frau Kollegin.  
Ich habe nachgefragt und wollte wissen, ob der Landesregierung 
bekannt ist, welche Forderungen erhoben wurden. 

(Zuruf René Rock (Freie Demokraten)) 

Da hat die Staatssekretärin gesagt: Jetzt bringen Sie mich 
in eine Bredouille. Da muss ich nämlich nachschauen, wer 
was vorgetragen hat. Aber Fakt ist, dass man jede Woche 
mit denen redet und jede Woche Verhandlungen führt.  
Frau Gersberg, haben Sie das auch wahrgenommen? Das 
würde Ihnen nämlich helfen. 

(Zuruf Nadine Gersberg (SPD)) 

 Doch, das würde Ihnen wirklich sehr helfen. 
(Vereinzelter Beifall BÜNDNIS 90/DIE GRÜNEN  
René Rock (Freie Demokraten): Bisschen einkriegen 
wieder!) 

Ich wiederhole noch einmal: Wenn man bei der Landesregierung 
nachfragt und Antworten bekommt  auch zur 
Pauschale haben Sie doch eine Antwort bekommen; Sie 
haben es doch gehört , wenn gesagt wird, die Landesre

9742 
 

gierung ist sogar bereit, nächste Woche darüber zu reden, 
dann aber gesagt wird: Die Landesregierung hört es nicht, 
ist ignorant, und was weiß ich nicht alles, was Ihnen da 
einfällt: Sie erzählen immer wieder dasselbe, egal, was die 
Landesregierung antwortet. Das ist sozusagen eine Verweigerung 
von Antworten und Realität  tut mir leid. 

(Zuruf Nadine Gersberg (SPD)) 

Es hat auch niemand gesagt, dass es keine Probleme gibt. 
Schon wieder wiederholen Sie dasselbe. Es hat niemand 
gesagt, dass es keine Probleme gebe. Der Reflex von Ihnen, 
zu sagen, die Landesregierung tue nichts, ist der falsche. 
Um nichts anderes geht es hier.  Danke. 

(Beifall BÜNDNIS 90/DIE GRÜNEN  René Rock 
(Freie Demokraten): Stimmt einfach!)",,
Volker Richter,AfD,2020-06-25,NON_HATE,0.9883,"Sehr geehrte Frau Präsidentin, meine sehr verehrten Damen 
und Herren! Vorab: Den Satz Das Boot ist voll habe 
nicht ich gestern verwendet, den habe ich auch nicht benutzt, 
der kommt von Otto Schily. Darüber sollten Sie 
schon einmal nachdenken. 

(Beifall AfD) 

Um es klar auszudrücken: Weder ist die Aufnahme von 
Flüchtlingen in unserem Land humanitär, noch ist diese 
dringend geboten. Beides wäre nur dann geboten, wenn 
Menschen an unserer Grenze vor Krieg und Elend flüchten, 
nämlich dann, wenn in einem direkten Nachbarland 
Konflikte ausbrechen. In einem solchen Fall baut man 
grenznah entsprechende Camps auf, versorgt die Menschen, 
hilft auf politischem Weg dabei, den Konflikt zu beenden, 
und führt die geflüchteten Menschen nachfolgend 
wieder in ihre Heimat zurück. Das wäre eine dringend gebotene 
humanitäre Leistung. 

(Beifall AfD) 

Dass die SPD gerade mit solchen Aktuellen Stunden und 
Anträgen versucht, die LINKEN auf der politischen Linksaußenspur 
noch zu überholen, ist angesichts des Kuschelkurses, 
den wir auch hier im Landtag deutlich bemerken, 
nicht verwunderlich. 

(Vereinzelter Beifall AfD) 

Der Niedergang der Sozialdemokratie ist exakt dem geschuldet, 
nämlich der Anbiederung an linke Kräfte, die unsere 
Demokratie und unsere freiheitlich-demokratische 
Grundordnung in einen totalitären und sozialistischen Staat 
umwandeln möchten. 

(Beifall AfD  Zuruf Saadet Sönmez (DIE LINKE)) 

3520 
 

 Sie wollten doch eben auch keine Zwischenrufe.  Wir 
haben den Eindruck, dass die LINKEN das sogar zugeben. 
(Jan Schalauske (DIE LINKE): Wie kann man zu einem 
so wichtigen Thema einen solchen Unsinn erzählen? 
 Glockenzeichen) 

Die SPD sollte dies ebenfalls tun, damit die Menschen wissen, 
was sie wählen, nämlich nicht Humanismus, sondern 
den Weg zum Marxismus, den Weg zu linksgerichteter Gewalt 
und allumfassender Propaganda. Man kann nicht sagen, 
dass sich CDU und GRÜNE dem entziehen. 

(Beifall AfD  Zuruf SPD: Können Sie auch etwas 
zum Thema sagen?  Jan Schalauske (DIE LINKE): 
Nur, dass Sie keine Ahnung haben!) 

Die Früchte solchen Handelns erkennen wir in Stuttgart. 
Das ist Ihre gelebte Demokratie, meine Damen und Herren 
von den etablierten Parteien. 

(Beifall AfD) 

Sie befinden sich auf dem Weg in einen totalitären Staat, in 
einen Staat der Unruhen und in einen Staat des Aufruhrs. 

(Zurufe DIE LINKE)",,
Nadine Gersberg,SPD,2020-10-01,NON_HATE,0.9883,"Sehr geehrter Herr Präsident, meine sehr verehrten Damen 
und Herren! Ich möchte zu Beginn meiner Rede aus einem 
vertraulichen Strategiepapier der AfD aus dem Wahljahr2017 zitieren, das seinen Weg in die Öffentlichkeit gefunden 
hat: 

Die AfD muss ganz bewusst und ganz gezielt immer 
wieder politisch inkorrekt sein, zu klaren Worten 
greifen und auch vor sorgfältig geplanten Provokationen 
nicht zurückschrecken. 

(Günter Rudolph (SPD): Hört, hört! So sind sie!) 

 
4213 

Je nervöser und unfairer die Altparteien auf Provokationen 
reagieren, desto besser. 

(Zurufe AfD) 

Die AfD rechnet jetzt wahrscheinlich damit, dass ich als 
sozialdemokratische und damit auch feministische und antirassistische 
Rednerin hier vollkommen die Beherrschung 
verliere, aber ich muss Ihnen sagen: Das ist mir die AfD 
nicht wert. 

(Beifall SPD, BÜNDNIS 90/DIE GRÜNEN und 
DIE LINKE) 

Um eines vorwegzunehmen: Feminismus heißt immer 
auch Antirassismus. 

Nur wenige Frauen fallen auf derartige Anträge herein. So 
ist es z. B. kein Wunder, dass ein sogenannter Frauenmarsch, 
den die AfD vor zwei Jahren in Berlin organisierte 
und der sich pauschal gegen geflüchtete Migranten und 
Muslime richtete, fast ausschließlich von männlichen Teilnehmern 
besucht wurde. 

(Heiterkeit  Zurufe DIE LINKE) 

 Schlecht gelaufen.  Für Fälle wie die Themenwahl 
Frauen durch die AfD gibt es einen wissenschaftlichen 
Begriff. Der sogenannte Femonationalismus beschreibt die 
Versuche westlicher rechter Parteien und rassistischer Politiker, 
die Gleichstellung der Geschlechter scheinbar durchsetzen 
zu wollen, indem der Islam als durch und durch 
frauenfeindliche Kultur und Religion abgestempelt wird. 
Der hier vorliegende Antrag wurde so oder in sehr ähnlicher 
Form bereits in mehreren Landesparlamenten und 
auch im Bundestag eingebracht. Er verfolgt leider noch 
weitere Ziele als nur, uns zu provozieren. Mitnichten geht 
es der AfD um die Verhinderung oder Eindämmung von 
Gewalt an Frauen. Worum es ihr geht, ist die Stigmatisierung 
einer ganzen Bevölkerungsgruppe. 

(Beifall SPD, vereinzelt CDU, BÜNDNIS 90/DIEGRÜNEN und DIE LINKE  Zurufe AfD) 

Die AfD rechnet die Eigenschaft der Gewalttätigkeit den 
Menschen mit Migrationshintergrund, insbesondere den 
Muslimen, zu. Das ist eine konkrete rassistische Zuschreibung. 

(Andreas Lichert (AfD): Das sind die Zahlen der 
Bundesregierung!  Weitere Zurufe AfD)",,
Rolf Kahnt,fraktionslos,2021-05-20,NON_HATE,0.9883,"Herr Präsident! Nach der Rede des Vorredners hätte ich 
mir ganz gern eine Verdauungspause gegönnt, aber ich mache 
trotzdem an dieser Stelle weiter. 

(Vereinzelter Beifall CDU) 

6020 
 

Liebe Kolleginnen und Kollegen! Der antisemitische Hass 
gegen Israel brachte bittere Wahrheiten ans Tageslicht. 
Auffallend viele junge Menschen aus Einwandererfamilien 
demonstrierten gegen israelische Militäreinsätze in Gaza. 
Sie sprechen Israel das Recht auf Verteidigung gegenüber 
Aggressoren ab, die Israel seit über einer Woche mit Tausenden 
Raketen beschießen. 

Wer sich bei den Angriffen auf Israel auf den importierten 
Antisemitismus beschränkt, macht es sich viel zu einfach, 
denkt zu kurz und hängt die Messlatte für sich selbst sehr 
tief. 

(Zurufe AfD  Glockenzeichen) 

Der Judenhass junger Menschen aus muslimischen Familien 
ist zu verurteilen. Gleichermaßen trifft das für nicht wenige 
andere Gesellschaftsmitglieder zu. Allein ein Blick 
besonders in die rechtsextreme Szene lässt einen erschaudern. 
Das mahnt uns, genauer hinzuschauen und nicht 
mehr zu schweigen, unseren Mund aufzumachen, uns zu 
wehren und zu verstehen zu geben: Wer sich gegen das 
Existenzrecht Israels und das Judentum stellt, egal welcher 
Nationalität und welchen Glaubens, stellt sich gegen uns 
und unsere Solidarität mit Israel. Blinder Hass und Hetze 
gegenüber Juden bedeuten Verachtung gegenüber Prinzipien 
eines freiheitlichen, demokratischen und friedlichen 
Miteinanders. 

Es kann nicht oft genug wiederholt werden: Wir Deutsche 
tragen angesichts unserer verhängnisvollen Geschichte gegenüber 
Millionen ermordeter Juden in der Nazizeit eine 
besondere Verantwortung. Deshalb darf es nicht sein, dass 
sich Juden im heutigen Deutschland nicht mehr sicher fühlen. 
Antisemitismus und Feindschaft gegenüber Israel haben 
nirgendwo einen Platz unter uns. 

Die besondere Beziehung Deutschlands zu Israel sowie das 
Existenzrecht Israels müssen daher bereits früh Teil demokratischer 
Bildung sein. Es bleibt unsere Aufgabe, mit viel 
stärkerer Aufklärung und Prävention in Schule und Elternhaus 
den Dialog zu suchen. Beispielhaft hierfür steht kein 
geringerer als Daniel Barenboim, der mit seinem West-
Eastern Divan Orchestra unablässig und vorbildlich für 
Frieden und Völkerverständigung wirkt. 

Rufe nach Ausgrenzung entfachen dagegen nur weiteren 
Hass und Unfrieden. Das kann niemand von uns wollen.  
Vielen Dank für Ihre Aufmerksamkeit.",,
Marius Weiß,SPD,2023-03-23,NON_HATE,0.9881,"Herr Präsident, liebe Kolleginnen und Kollegen! Ich habe 
mich an dieser Stelle noch einmal gemeldet, weil das eine 
oder andere, was eben gesagt wurde, so nicht stehen 
bleiben kann. Ich will an dieser Stelle einmal darauf hinweisen, 
dass es eine Partei in diesem Land und auch hier 
in diesem Parlament gibt, deren Politik Leben kostet, ganz 
real. 

(Beifall SPD  Widerspruch AfD) 

Die Flüchtlingspolitik, die Sie vertreten, die Hetze, die Sie 
gegen Flüchtlinge verbreiten, endet in solchen Attentaten 
wie in Kassel, wie in Hanau und wie in Halle. So eine 
Politik kostet Leben. 

(Beifall SPD, CDU und BÜNDNIS 90/DIE GRÜNEN 
 Zurufe AfD) 

Die Politik, die Sie während der Pandemie verfolgt haben, 
hat Leben gekostet. 

(Zurufe AfD) 

Wenn solche Leute in Tankstellen reinlaufen und einem 
20-Jährigen in den Kopf schießen, weil sie sich keine Maske 
aufsetzen wollen   

(Klaus Gagel (AfD): Da sind wir dran schuld, oder 
was?  Weitere Zurufe AfD) 

 Dann schauen Sie sich doch mal die Twitter-Liste des 
Täters an, die ist voll mit AfD-Politikern und dem ganzen 
Müll, der von Ihnen verbreitet wird. Ihre Politik kostet 
Leben. 
(Beifall SPD, CDU und BÜNDNIS 90/DIE GRÜNEN 
 Zurufe AfD) 

Die Politik, mit der Sie den menschengemachten Klimawandel 
leugnen, kostet Leben, überall auf der Welt, und 
zwar heute schon und in Zukunft noch mehr. Dass diese 
Partei sich hierhin stellt und von Klimaterroristen und 

 
10875 

Klimafaschisten redet, das ist wirklich das Allerletzte, 
Herr Kollege Gagel. 

(Beifall SPD, CDU, BÜNDNIS 90/DIE GRÜNEN 
und Freie Demokraten) 

Es gibt in diesem Haus eine einzige Partei, deren Mitglieder 
man ungestraft Faschisten nennen darf und die Faschisten 
in ihren Reihen hat, wie Björn Höcke. Das ist die 
AfD. 

(Beifall SPD, CDU, BÜNDNIS 90/DIE GRÜNEN, 
Freie Demokraten und DIE LINKE  Zurufe AfD) 

Dass ausgerechnet Sie sich hierhin stellen und andere Leute 
als Faschisten bezeichnen  was erlauben Sie sich eigentlich 
in diesem Haus, Herr Gagel? 

(Beifall SPD, CDU, BÜNDNIS 90/DIE GRÜNEN, 
Freie Demokraten und DIE LINKE  Zurufe AfD) 

Ich fordere Sie auf, kommen Sie an dieses Pult, was Herr 
Rock Ihnen eben schon zugerufen hat, und erläutern Sie 
uns, wen genau Sie als Klimafaschisten bezeichnet haben. 
Das ist das Mindeste, was Sie hier machen müssen, 
nach der Rede, die Sie eben abgelassen haben. 

(Beifall SPD, CDU, BÜNDNIS 90/DIE GRÜNEN, 
Freie Demokraten und DIE LINKE  Zurufe AfD)",,
Lisa Deißler,Freie Demokraten,2022-11-17,NON_HATE,0.9881,"Sehr geehrte Frau Präsidentin, liebe Kolleginnen und Kollegen! 
Wir als Freie Demokraten begrüßen ausdrücklich 
die Richtung, in die Sie mit diesem Gesetz gehen. Wir wollen 
nicht nachtragend wirken, müssen aber doch anmerken,
dass die Änderung des Gesetzes schon etwas früher hätte 
erfolgen sollen. Aber frei nach dem Motto Besser spät als 
nie werden wir dem Gesetz zustimmen. 

(Beifall Freie Demokraten) 

Lassen Sie mich dennoch in aller Kürze auf drei Punkte 
aus der Anhörung eingehen, die nach unserer Meinung 
Beachtung finden sollten. 

Zum einen ist das der Punkt, den das Institut für berufliche 
Bildung, Arbeitsmarkt-und Sozialpolitik angeführt hat. 
Dort wurde angeregt, dass die Kommunikation rund um 
die Anerkennung und entsprechende Bescheide in einfacher 
Sprache angeboten und so formuliert werden sollten. 
Das halten wir für einen richtigen und für einen berechtigten 
Einwand. Wir hoffen, dass das noch in einer entsprechenden 
Verordnung geregelt wird, und würden dies 
ausdrücklich begrüßen. 

Zum Thema Sprache. Die finanzielle Förderung bei der 
Übersetzung von Dokumenten, so, wie es die Handwerkskammern 
vorgeschlagen haben, ist ein richtiger Weg, vor 
allem für jene, die jeden einzelnen Euro brauchen und den 
im Zweifel auch zweimal umdrehen müssen. Dass in Einzelfällen 
auf einzelne Übersetzungen nun auch verzichtet 
werden kann, halten wir für einen richtigen Schritt, aber 
allein eben nicht für ausreichend. 

Mein dritter Punkt bezieht sich auf die Stellungnahme der 
VhU. Diese fordert die zentrale Ausländerbehörde. Auch 
das ist ein Thema, das wir in diesem Gesetz nicht regeln 
können. Es berührt aber schon den Regelungsinhalt Ihrer 
Gesetzesänderung. In unserem am Dienstag eingebrachten 
Integrationsgesetz haben wir die Forderung ebenfalls gestellt. 
Wir haben das in der Vergangenheit bereits mit mehreren 
Anträgen eingebracht. Wir halten das für einen klugen 
Vorschlag, um die Überlastung der Ausländerbehörden 
vor Ort zu regulieren. Eine zentrale Ausländerbehörde wäre 
die jetzt nötige Schnittstelle zwischen den Interessengruppen, 
die dort agieren könnte, und sie könnte die Belastung 
vor Ort verringern. 

Deshalb sollte Hessen hier vielleicht seinen Sonderweg beenden. 
Zehn von 16 Bundesländern haben diese zentralen 
Ausländerbehörden bereits. Diese helfen bei der Regelung 
der Erwerbsmigration. Wir würden uns das auch in Hessen 
wünschen. Aber wir werden, wie angekündigt, dem Gesetz 
zustimmen.  Vielen Dank. 

(Beifall Freie Demokraten)",,
